parameter,row_index,row_shape,non_zero_indices,w1,w2,w3,w4,w5,w6,bias
model.0.gatebank.w,10,"(6,)","1,3,7,5,0,8",0.6589171290397644,0.3742983341217041,0.396109402179718,0.2257867157459259,0.8868650794029236,0.8591188192367554,0.24278025
model.0.gatebank.w,11,"(6,)","5,3,2,6,8,7",0.25902819633483887,0.6234174966812134,0.8187119364738464,0.8949448466300964,0.8556602597236633,0.7585111260414124,0.031562705
model.0.gatebank.w,12,"(6,)","8,5,6,7,0,1",0.3354227542877197,0.2784174382686615,0.7909567952156067,0.6380907297134399,0.19223318994045258,0.7985531687736511,0.11080092
model.0.gatebank.w,13,"(6,)","7,5,4,3,2,8",0.6210538744926453,0.652117133140564,0.17423893511295319,0.5589077472686768,0.253782719373703,0.7596186995506287,0.059603527
model.0.gatebank.w,14,"(6,)","4,1,3,0,7,8",0.36952638626098633,0.6016117334365845,0.5131090879440308,0.6254972815513611,0.32172054052352905,0.6526866555213928,-0.27331915
model.0.gatebank.w,15,"(6,)","7,0,2,4,3,5",0.31871098279953003,0.5930260419845581,0.22983045876026154,0.16794416308403015,0.17301344871520996,0.9048014283180237,0.28988674
model.0.gatebank.w,16,"(6,)","6,4,7,3,5,1",0.820770263671875,0.9718118906021118,0.9159737229347229,0.22806565463542938,0.3450062870979309,0.5166131258010864,-0.045741953
model.0.gatebank.w,17,"(6,)","7,8,6,0,2,1",0.3759002685546875,0.9300843477249146,0.34341877698898315,0.40523040294647217,0.16904065012931824,0.32358574867248535,0.18824601
model.0.gatebank.w,18,"(6,)","8,4,6,0,1,7",0.6063486337661743,0.6324668526649475,0.5481173992156982,0.5929946899414062,0.6434239149093628,0.179596409201622,0.45529774
model.0.gatebank.w,19,"(6,)","8,4,1,3,5,2",0.5071752667427063,0.6695002317428589,0.4207790791988373,0.7181425094604492,0.5195844769477844,0.5469771027565002,0.27837405
model.0.gatebank.w,20,"(6,)","2,7,6,3,5,4",0.3724054992198944,0.7719571590423584,0.6767878532409668,0.5353946089744568,0.2837441861629486,0.2943212687969208,-0.22631225
model.0.gatebank.w,21,"(6,)","0,1,8,3,6,5",0.008097554557025433,0.7635486721992493,0.879889726638794,0.40717801451683044,0.19760292768478394,0.9154890179634094,0.10197848
model.0.gatebank.w,22,"(6,)","2,7,1,5,3,8",0.6993392705917358,0.4589537978172302,0.21056441962718964,0.8296842575073242,0.6096578240394592,-0.01865166798233986,0.115222976
model.0.gatebank.w,23,"(6,)","2,6,7,5,8,0",0.975764811038971,0.9471383094787598,0.4345250427722931,0.831718921661377,0.3701690435409546,0.5120944976806641,-0.15897869
model.0.gatebank.w,24,"(6,)","6,4,7,5,1,3",0.9701275825500488,0.6087056398391724,0.30172646045684814,0.42098885774612427,0.44928526878356934,0.5168586373329163,-0.399051
model.0.gatebank.w,25,"(6,)","4,3,1,2,7,8",0.5533366799354553,0.8722084760665894,0.5432890057563782,0.26273590326309204,0.5542140007019043,0.7784317135810852,-0.3868652
model.0.gatebank.w,26,"(6,)","0,1,2,6,5,8",0.7350324988365173,0.1270780861377716,0.4789268970489502,0.29834750294685364,0.42371711134910583,0.705170214176178,-0.0030164747
model.0.gatebank.w,27,"(6,)","7,2,3,6,1,5",0.21702077984809875,0.7257183194160461,0.9589574337005615,0.6147581338882446,0.2538732886314392,0.39371809363365173,-0.19753282
model.0.gatebank.w,28,"(6,)","6,7,5,1,4,0",0.7637556195259094,0.3474041223526001,0.953062117099762,0.14120176434516907,0.18268606066703796,0.076681949198246,0.11907054
model.0.gatebank.w,29,"(6,)","0,4,3,5,6,2",0.31830713152885437,0.8073403835296631,-0.08630881458520889,0.8629536628723145,0.24596574902534485,0.6138327121734619,-0.0037544451
model.0.gatebank.w,30,"(6,)","1,7,8,4,6,2",0.38536956906318665,-0.010636253282427788,0.7478656768798828,0.5940274000167847,0.826641321182251,0.5846378803253174,0.1934483
model.0.gatebank.w,31,"(6,)","6,2,7,3,8,4",0.2936154305934906,0.7775102257728577,0.5548593401908875,0.6601622700691223,0.22083060443401337,0.34333643317222595,0.022230132
model.2.gatebank.w,0,"(6,)","86,49,134,147,220,2",0.6951491236686707,0.3649556040763855,0.794845700263977,0.425128310918808,0.29608410596847534,0.4111595153808594,0.17327355
model.2.gatebank.w,1,"(6,)","207,196,100,230,278,89",0.5206793546676636,0.4825372099876404,0.6619876623153687,0.8979668617248535,0.7792013883590698,0.21028341352939606,0.12004923
model.2.gatebank.w,2,"(6,)","175,55,79,180,176,130",1.088818073272705,0.5132744908332825,0.611231803894043,0.7620266675949097,0.4236949384212494,0.3977492153644562,0.04357112
model.2.gatebank.w,3,"(6,)","109,36,157,205,266,62",0.45793965458869934,0.5735227465629578,0.6012777090072632,0.33845576643943787,0.4333222508430481,0.7339210510253906,-0.0809159
model.2.gatebank.w,4,"(6,)","80,28,152,251,247,192",0.18676790595054626,0.6194484829902649,0.8704261779785156,0.20523807406425476,0.8030174970626831,0.3486855924129486,0.29911515
model.2.gatebank.w,5,"(6,)","133,58,267,90,101,231",0.7333763241767883,0.7223027348518372,0.8074663877487183,0.4987637400627136,0.7904380559921265,0.585037887096405,0.16582663
model.2.gatebank.w,6,"(6,)","223,162,259,165,141,273",0.7692413330078125,0.523818850517273,0.9027363061904907,0.6046440601348877,0.5217645168304443,0.8653179407119751,0.08061149
model.2.gatebank.w,7,"(6,)","100,41,7,202,88,17",0.7583238482475281,0.5605456829071045,0.6510694026947021,0.6289900541305542,0.8217861652374268,0.6929489374160767,-0.24274246
model.2.gatebank.w,8,"(6,)","156,136,180,163,246,220",0.553583025932312,0.5024549961090088,0.8091005086898804,0.2502859830856323,0.9287751913070679,0.39804986119270325,0.16012792
model.2.gatebank.w,9,"(6,)","104,108,266,248,223,141",0.32994481921195984,0.9851734042167664,0.2903309166431427,0.35537365078926086,0.8703792095184326,0.961842954158783,0.31887367
model.2.gatebank.w,10,"(6,)","204,0,34,162,23,221",0.8969918489456177,0.7254716753959656,0.6875127553939819,0.4276231825351715,0.556969165802002,0.3649587333202362,-0.16743886
model.2.gatebank.w,11,"(6,)","123,52,165,241,250,239",-0.11303101480007172,-0.5336695909500122,-0.46963760256767273,-0.42451557517051697,-0.4551129639148712,-0.6797846555709839,0.79927427
model.2.gatebank.w,12,"(6,)","279,128,145,86,226,247",0.49151310324668884,0.2097339630126953,0.49276676774024963,0.47402408719062805,0.583113968372345,0.6100897192955017,-0.03483862
model.2.gatebank.w,13,"(6,)","286,247,3,132,270,59",0.8587548732757568,0.34070685505867004,0.3608306050300598,0.4712287485599518,0.85552978515625,0.9730448722839355,0.22029592
model.2.gatebank.w,14,"(6,)","87,235,214,238,155,68",0.4011905789375305,0.5760660171508789,0.5722684264183044,0.6403848528862,0.7914852499961853,0.6040679216384888,-0.24117076
model.2.gatebank.w,15,"(6,)","202,168,21,77,47,75",0.27354490756988525,0.5684617161750793,0.48621368408203125,0.879493236541748,0.8204280138015747,0.4636952877044678,0.10575721
model.2.gatebank.w,16,"(6,)","144,146,79,158,240,14",0.3103497624397278,0.8509175777435303,0.5651540160179138,0.4710395932197571,0.7369917631149292,0.5353100299835205,0.05843076
model.2.gatebank.w,17,"(6,)","30,268,19,170,108,16",0.9071081280708313,0.6498361825942993,0.9375895261764526,0.7378438711166382,0.4751650094985962,0.5897908210754395,-0.051775146
model.2.gatebank.w,18,"(6,)","214,34,182,279,26,271",0.8388665318489075,0.4103446304798126,0.3013095557689667,0.34591710567474365,0.9606184363365173,0.6107727289199829,0.025308928
model.2.gatebank.w,19,"(6,)","142,161,48,95,243,213",0.8085490465164185,0.5036882758140564,0.2688963711261749,0.5396766066551208,0.4496999979019165,0.9268590211868286,0.15382528
model.2.gatebank.w,20,"(6,)","5,98,267,17,234,59",0.6333909630775452,0.9250774383544922,0.3510521650314331,0.5444477796554565,0.2792542576789856,0.6566846370697021,0.09621547
model.2.gatebank.w,21,"(6,)","191,95,27,30,250,124",0.4023240804672241,0.7866835594177246,0.6736733317375183,0.20003484189510345,0.4882388412952423,0.6198418736457825,0.076475784
model.2.gatebank.w,22,"(6,)","155,19,197,236,207,74",1.0588947534561157,0.18779975175857544,0.3886452615261078,1.007073998451233,0.3094324469566345,0.47754335403442383,0.41229126
model.2.gatebank.w,23,"(6,)","155,212,14,46,51,229",0.8142029643058777,0.692133903503418,0.5444499254226685,0.643139123916626,0.4287462830543518,0.2329644113779068,0.18373492
model.2.gatebank.w,24,"(6,)","74,200,186,219,85,118",0.5929121375083923,0.1454332023859024,0.9182319045066833,0.7925652861595154,0.9514765739440918,0.4188748896121979,0.12669988
model.2.gatebank.w,25,"(6,)","35,265,238,246,31,211",0.49413061141967773,0.7044015526771545,0.3718770444393158,0.9701095819473267,0.7404791712760925,0.8203232288360596,-0.06718189
model.2.gatebank.w,26,"(6,)","124,215,159,269,247,235",0.47729095816612244,0.9695743918418884,0.45645925402641296,0.37933772802352905,0.5141787528991699,0.954347550868988,0.06473919
model.2.gatebank.w,27,"(6,)","236,128,127,159,63,184",0.41809147596359253,0.6912122368812561,0.5260062217712402,0.497029185295105,0.6142484545707703,0.34539321064949036,-0.05456252
model.2.gatebank.w,28,"(6,)","50,228,247,116,31,159",0.49421051144599915,0.8370986580848694,0.9576375484466553,0.6608883142471313,0.5050970315933228,0.3287360966205597,0.2253471
model.2.gatebank.w,29,"(6,)","242,174,215,147,137,59",0.6510672569274902,0.38899311423301697,0.9206027388572693,0.5999102592468262,0.7586286067962646,0.5114099979400635,-0.078409344
model.2.gatebank.w,30,"(6,)","212,164,216,180,254,185",0.6193572282791138,0.7445299625396729,0.40810319781303406,0.852693498134613,0.23530565202236176,0.756644606590271,0.15499401
model.2.gatebank.w,31,"(6,)","154,220,28,123,129,150",0.9449083805084229,0.8266879916191101,0.8815986514091492,0.2331113964319229,0.5085968971252441,0.8101868033409119,0.12805521
model.2.gatebank.w,32,"(6,)","139,155,76,286,186,241",0.7619296908378601,0.21533441543579102,0.45211946964263916,0.6190805435180664,0.6131608486175537,0.5414766669273376,-0.058281146
model.2.gatebank.w,33,"(6,)","242,169,33,37,127,91",0.3172881007194519,0.614794135093689,0.9238265752792358,0.6240856647491455,0.7258334755897522,0.25785404443740845,0.23773585
model.2.gatebank.w,34,"(6,)","143,169,22,277,263,226",0.5233260989189148,0.385621577501297,0.6036192178726196,0.33280929923057556,1.0241210460662842,0.6793086528778076,0.14745207
model.2.gatebank.w,35,"(6,)","137,98,240,229,197,5",0.6480134725570679,0.43850135803222656,0.8885663151741028,0.2797686755657196,0.23566590249538422,0.6387943625450134,0.21755545
model.2.gatebank.w,36,"(6,)","239,258,146,87,176,95",0.5680692195892334,0.44823840260505676,0.19288261234760284,0.7915215492248535,0.38474297523498535,0.8810139894485474,0.19880024
model.2.gatebank.w,37,"(6,)","34,233,59,187,46,42",0.21486523747444153,0.747806966304779,0.9369869232177734,0.9460023045539856,0.24608804285526276,0.4340747594833374,0.43421227
model.2.gatebank.w,38,"(6,)","31,50,154,85,87,17",0.7295989394187927,0.41700074076652527,0.49108514189720154,0.42146405577659607,0.33243420720100403,0.6246598958969116,-0.0075177997
model.2.gatebank.w,39,"(6,)","109,49,31,108,115,15",0.3991136848926544,0.8004760146141052,0.20267334580421448,0.8455348014831543,0.48086151480674744,0.4823805093765259,0.1057065
model.2.gatebank.w,40,"(6,)","131,73,226,129,90,79",0.8596333861351013,0.6777060031890869,0.7506656646728516,0.8162338137626648,0.7995201349258423,0.6559325456619263,0.32326597
model.2.gatebank.w,41,"(6,)","133,62,266,43,74,21",0.5506212115287781,0.6153452396392822,0.3570258915424347,0.5906895995140076,0.8307549357414246,0.20273661613464355,0.04036968
model.2.gatebank.w,42,"(6,)","244,141,54,241,128,102",0.291061669588089,0.5283806324005127,0.8093236684799194,0.7886609435081482,0.6362795829772949,0.559268057346344,-0.062449794
model.2.gatebank.w,43,"(6,)","133,83,56,87,60,8",0.26809531450271606,0.3348560035228729,0.809054970741272,0.739423930644989,0.5405210852622986,0.536811888217926,0.079454385
model.2.gatebank.w,44,"(6,)","31,71,94,193,168,162",1.0402601957321167,0.5407887101173401,0.6396092772483826,0.9058349132537842,0.17090676724910736,0.7273769974708557,-0.012962911
model.2.gatebank.w,45,"(6,)","24,69,89,135,230,154",0.7748119235038757,0.8330352306365967,0.3847510516643524,0.29489433765411377,0.898258626461029,1.023369312286377,0.43170986
model.2.gatebank.w,46,"(6,)","35,235,215,93,18,240",0.263102650642395,0.9966128468513489,0.32081666588783264,0.8309098482131958,0.5148870348930359,0.5396667718887329,0.21656987
model.2.gatebank.w,47,"(6,)","43,173,122,194,82,139",1.0180978775024414,0.5709894895553589,0.3361794650554657,0.3174488842487335,0.9263356328010559,0.8860740065574646,-0.040225398
model.2.gatebank.w,48,"(6,)","225,263,282,93,234,58",0.34917494654655457,0.8798341751098633,0.31321409344673157,1.028093934059143,0.7137828469276428,0.7345964312553406,0.35686815
model.2.gatebank.w,49,"(6,)","210,234,251,150,218,231",0.49372127652168274,1.0240360498428345,0.8663930296897888,0.9641257524490356,0.4298691153526306,0.2692449390888214,0.19694208
model.2.gatebank.w,50,"(6,)","2,253,122,11,60,53",0.6284312605857849,0.5262686610221863,0.38416939973831177,0.28582897782325745,0.635823667049408,0.5753955245018005,0.060184762
model.2.gatebank.w,51,"(6,)","149,287,28,56,268,51",0.7882484793663025,0.5474196672439575,0.76661217212677,0.8396918773651123,0.14566448330879211,0.556129515171051,0.053368088
model.2.gatebank.w,52,"(6,)","239,198,85,136,2,35",0.29735082387924194,0.7799827456474304,0.42285120487213135,0.6632190346717834,0.8336941003799438,0.4072454869747162,0.19287749
model.2.gatebank.w,53,"(6,)","15,137,40,259,62,104",0.8022348284721375,0.5507111549377441,0.9318022727966309,0.4936962425708771,0.44516420364379883,0.8375504016876221,0.22467728
model.2.gatebank.w,54,"(6,)","111,32,106,285,184,238",0.41510093212127686,0.4787873327732086,0.7949382066726685,0.4233580231666565,0.9550163745880127,0.8107027411460876,0.027213816
model.2.gatebank.w,55,"(6,)","91,194,187,232,141,51",0.7799994945526123,0.7175717949867249,0.3600977957248688,0.5915578603744507,0.7204904556274414,0.5101723670959473,-0.20048496
model.2.gatebank.w,56,"(6,)","250,264,103,203,134,267",0.5297060012817383,0.6996243596076965,0.3844662010669708,0.915019154548645,0.3762536644935608,0.484563946723938,0.0031560352
model.2.gatebank.w,57,"(6,)","15,56,173,126,76,150",0.6095582246780396,0.5019433498382568,0.29629281163215637,0.6683728694915771,0.18433114886283875,0.817012369632721,0.101197794
model.2.gatebank.w,58,"(6,)","204,59,172,233,195,76",0.8056791424751282,0.7869303822517395,0.7409477233886719,0.43066075444221497,0.6337459087371826,0.12112586945295334,0.39169928
model.2.gatebank.w,59,"(6,)","203,280,197,47,89,93",0.7217745780944824,0.3573009669780731,0.3854149580001831,0.3233255445957184,0.584507405757904,0.9320544600486755,0.34364787
model.2.gatebank.w,60,"(6,)","20,77,94,158,30,57",0.37127169966697693,0.48438209295272827,0.3930807113647461,0.5581453442573547,0.8040673732757568,0.39229220151901245,0.040136736
model.2.gatebank.w,61,"(6,)","87,277,17,143,259,28",0.6976504921913147,0.6366775035858154,0.5074018836021423,0.2497304230928421,0.6939499378204346,0.6810319423675537,-0.22819392
model.2.gatebank.w,62,"(6,)","37,4,16,154,287,130",0.42732951045036316,0.33795660734176636,0.5932387113571167,0.7542790770530701,0.48259902000427246,0.30552685260772705,0.037113685
model.2.gatebank.w,63,"(6,)","222,37,213,124,115,32",0.4420868754386902,0.3495456576347351,0.954509437084198,0.6257832646369934,0.5627949237823486,0.38949650526046753,0.05154877
model.2.gatebank.w,64,"(6,)","3,70,218,211,18,228",0.9503952264785767,0.29903164505958557,0.6261224150657654,0.4959799647331238,0.14150631427764893,0.8052161335945129,0.27374825
model.2.gatebank.w,65,"(6,)","239,242,187,175,287,232",0.4618110954761505,0.35134026408195496,0.6953220367431641,0.44728824496269226,0.29764100909233093,0.6064561605453491,-0.082552716
model.2.gatebank.w,66,"(6,)","41,121,13,253,105,268",0.49538618326187134,0.4639793932437897,0.5578345060348511,0.7811446785926819,0.49079763889312744,0.5078622102737427,-0.26255614
model.2.gatebank.w,67,"(6,)","284,49,228,172,193,223",-0.2915872037410736,-0.6765017509460449,-0.20168204605579376,-0.6156615018844604,-0.34048599004745483,-0.4377959966659546,1.1567085
model.2.gatebank.w,68,"(6,)","174,134,203,163,72,261",0.8458811044692993,0.6386963725090027,0.8949435353279114,0.451230525970459,0.5054597854614258,0.084454745054245,0.08947266
model.2.gatebank.w,69,"(6,)","90,239,114,91,193,89",0.6669368743896484,0.7160782814025879,0.5957739949226379,0.651841402053833,0.14369724690914154,0.8345230221748352,0.240568
model.2.gatebank.w,70,"(6,)","151,226,286,130,190,183",0.6247068643569946,0.27089062333106995,0.8174084424972534,0.6471471786499023,0.6324219107627869,0.6811580657958984,0.33637396
model.2.gatebank.w,71,"(6,)","275,86,58,83,94,84",0.309698224067688,0.9023441672325134,0.4298863410949707,0.6517988443374634,0.8879421353340149,0.3447900712490082,0.045056503
model.2.gatebank.w,72,"(6,)","162,95,74,177,181,102",0.8342416286468506,0.5869526267051697,0.7652612328529358,0.3707399070262909,0.5958097577095032,0.5502193570137024,0.05768189
model.2.gatebank.w,73,"(6,)","218,280,26,171,241,148",0.9003281593322754,0.534304678440094,0.8969225287437439,0.788195013999939,0.42873436212539673,0.9615433216094971,0.2191489
model.2.gatebank.w,74,"(6,)","147,37,225,83,97,154",0.49530962109565735,0.6143614053726196,0.5109443068504333,0.7348227500915527,0.5445852875709534,0.3917609751224518,-0.1074436
model.2.gatebank.w,75,"(6,)","102,98,68,19,43,9",0.41828447580337524,0.659389317035675,0.4080575704574585,0.33928170800209045,0.68492192029953,0.7022066712379456,0.08880472
model.2.gatebank.w,76,"(6,)","184,90,165,66,32,231",0.24639792740345,0.7190977931022644,0.6405208706855774,0.5070400238037109,0.870355486869812,0.6953534483909607,0.09527252
model.2.gatebank.w,77,"(6,)","99,280,206,134,246,128",0.7605041265487671,0.3883863091468811,0.39253267645835876,0.31058216094970703,0.5145204663276672,0.5228838920593262,0.04765605
model.2.gatebank.w,78,"(6,)","199,222,250,269,34,263",0.6104815006256104,0.739313542842865,0.9587008953094482,0.7226056456565857,0.5743941068649292,0.34179145097732544,0.09411801
model.2.gatebank.w,79,"(6,)","150,131,195,51,282,113",0.4184103310108185,0.35398316383361816,0.6318538784980774,0.6425815224647522,0.9014629125595093,0.9045908451080322,0.0896855
model.2.gatebank.w,80,"(6,)","148,51,36,178,139,136",1.023224115371704,0.6511135697364807,0.5170590281486511,0.511841356754303,0.5242366790771484,0.8865795731544495,-0.07618698
model.2.gatebank.w,81,"(6,)","31,183,269,58,162,262",0.5424597859382629,0.6742277145385742,0.4341517686843872,0.41060808300971985,0.6638590097427368,0.5351621508598328,0.082653426
model.2.gatebank.w,82,"(6,)","202,74,239,231,279,83",0.6023813486099243,0.1910247951745987,0.3830212950706482,0.7222228050231934,0.40787622332572937,0.8158317804336548,0.15287374
model.2.gatebank.w,83,"(6,)","246,97,6,153,286,42",0.5316129326820374,0.5789108276367188,0.8516913056373596,0.25142398476600647,0.6983782649040222,0.6118967533111572,0.057963163
model.2.gatebank.w,84,"(6,)","39,47,199,159,185,225",0.39615529775619507,0.9895105957984924,0.6120356917381287,0.354854941368103,0.8483580946922302,0.4908674359321594,0.04278724
model.2.gatebank.w,85,"(6,)","208,242,244,260,281,127",0.39748725295066833,0.9260169267654419,0.7492849826812744,0.38093024492263794,0.7498459219932556,0.5024061799049377,0.21463615
model.2.gatebank.w,86,"(6,)","136,206,180,276,44,225",0.39243072271347046,0.459614634513855,0.45429837703704834,0.8297220468521118,0.7296196818351746,0.8215928673744202,0.06989064
model.2.gatebank.w,87,"(6,)","197,112,111,84,76,173",0.06195536628365517,0.7844491004943848,0.8517202138900757,0.7644400596618652,0.6718294024467468,0.5502456426620483,0.55417895
model.2.gatebank.w,88,"(6,)","95,118,17,75,22,69",0.8673955202102661,0.7380571365356445,0.8368091583251953,0.5429808497428894,0.5013472437858582,0.6287729144096375,-0.0853054
model.2.gatebank.w,89,"(6,)","220,19,71,30,129,74",0.7874349355697632,0.4146643877029419,0.22900846600532532,0.7564210891723633,0.8719842433929443,0.9115058779716492,0.37108323
model.2.gatebank.w,90,"(6,)","65,84,62,157,276,23",0.7941648960113525,0.3550311326980591,0.9807116985321045,0.9061266779899597,0.3790602684020996,1.0084681510925293,0.1547425
model.2.gatebank.w,91,"(6,)","30,130,57,166,265,34",0.32473355531692505,0.42457279562950134,0.676649272441864,0.3281809091567993,0.7084821462631226,0.2685070037841797,0.13022216
model.2.gatebank.w,92,"(6,)","139,287,196,190,200,66",0.9322988390922546,0.898996114730835,0.3144930601119995,0.8128753304481506,0.3785786032676697,0.8014182448387146,0.3975482
model.2.gatebank.w,93,"(6,)","202,98,283,33,158,128",0.17966896295547485,0.949442446231842,0.46049028635025024,0.2589758336544037,0.9363405704498291,0.6326373815536499,0.34105808
model.2.gatebank.w,94,"(6,)","81,155,147,124,109,213",0.787452757358551,0.37907201051712036,0.3846725821495056,0.44954681396484375,0.45936936140060425,0.6723554730415344,0.014524081
model.2.gatebank.w,95,"(6,)","230,50,280,269,20,58",0.7606541514396667,0.6709871888160706,0.22359682619571686,0.3315029442310333,0.6563372015953064,0.8651418685913086,0.21970569
model.2.gatebank.w,96,"(6,)","208,101,105,54,147,185",0.6973687410354614,0.6040627956390381,0.5665211081504822,0.1930835247039795,0.4111628532409668,0.8261354565620422,0.26365444
model.2.gatebank.w,97,"(6,)","118,133,231,170,266,31",0.5669974684715271,0.5707162618637085,0.4497813880443573,0.6354727745056152,0.42244526743888855,0.683869481086731,-0.12309498
model.2.gatebank.w,98,"(6,)","207,282,77,237,45,82",0.7038320899009705,0.3321141004562378,0.4333782196044922,0.9965083599090576,0.8100247979164124,0.3786555528640747,0.11381414
model.2.gatebank.w,99,"(6,)","188,207,268,36,30,83",0.875008225440979,0.5114456415176392,0.53739994764328,0.40791866183280945,0.615293025970459,0.5792527198791504,-0.12509562
model.2.gatebank.w,100,"(6,)","203,212,10,257,23,244",0.7589470148086548,0.4969850182533264,0.2654319703578949,0.6854018568992615,0.7404177188873291,0.41706374287605286,0.11189433
model.2.gatebank.w,101,"(6,)","209,202,169,255,131,132",0.45920559763908386,0.4562682807445526,0.4286610782146454,0.48010414838790894,0.9911137223243713,0.7063292264938354,0.05766531
model.2.gatebank.w,102,"(6,)","215,64,134,73,96,239",0.4118368625640869,0.6829999089241028,0.4815504550933838,0.5707380175590515,0.0878523588180542,0.7648331522941589,0.16372731
model.2.gatebank.w,103,"(6,)","30,142,46,177,28,58",0.2136702686548233,0.8461750745773315,0.4558385908603668,0.6903119087219238,0.6527946591377258,0.6319075226783752,0.16329207
model.2.gatebank.w,104,"(6,)","97,194,41,254,167,119",0.5602798461914062,0.527161717414856,0.8859720230102539,0.38209542632102966,0.4299289286136627,0.5951590538024902,0.015102479
model.2.gatebank.w,105,"(6,)","189,143,164,83,170,53",0.2887095808982849,0.6854369044303894,0.3039062023162842,0.3963233232498169,0.6547014117240906,0.7592682242393494,0.20876153
model.2.gatebank.w,106,"(6,)","37,123,63,34,105,14",0.9987741112709045,0.7322238683700562,0.7178013324737549,0.4297110140323639,0.3868793845176697,0.4141905605792999,0.09121874
model.2.gatebank.w,107,"(6,)","258,198,265,54,109,252",0.3754759430885315,0.7571440935134888,0.5547158122062683,0.273882657289505,0.7077230215072632,0.38521865010261536,0.15212426
model.2.gatebank.w,108,"(6,)","275,189,165,201,116,205",0.5746498703956604,0.5943960547447205,0.5800389051437378,0.5478537082672119,0.36128681898117065,0.3844622075557709,-0.091020055
model.2.gatebank.w,109,"(6,)","143,153,35,250,94,259",0.21977803111076355,0.5582532286643982,0.6267340779304504,0.290391206741333,0.6977989673614502,0.9855428338050842,0.17772198
model.2.gatebank.w,110,"(6,)","283,190,107,284,285,248",0.8863766193389893,0.8724583983421326,0.5383766889572144,0.2655714452266693,0.35741302371025085,0.6635011434555054,0.3184873
model.2.gatebank.w,111,"(6,)","131,97,128,135,217,277",0.557924747467041,0.7441864013671875,0.3229110836982727,0.8211986422538757,0.6775184273719788,0.4507823586463928,-0.17543668
model.2.gatebank.w,112,"(6,)","102,37,103,191,41,212",0.5217536091804504,0.4685778021812439,0.6087475419044495,0.2233647108078003,0.5937004685401917,0.9244574904441833,0.007882921
model.2.gatebank.w,113,"(6,)","103,10,104,38,73,14",0.46161749958992004,0.4825434684753418,0.5322061777114868,0.6102580428123474,0.298744797706604,0.3321504294872284,0.016615864
model.2.gatebank.w,114,"(6,)","183,165,36,62,142,210",1.0038923025131226,0.13781768083572388,0.4917038679122925,0.49931779503822327,0.7179725766181946,0.8416506052017212,0.16395344
model.2.gatebank.w,115,"(6,)","193,37,22,135,195,138",0.46437975764274597,0.8852912187576294,0.40219131112098694,0.6151694655418396,0.6710771322250366,0.6400635838508606,-0.099806935
model.2.gatebank.w,116,"(6,)","46,28,61,277,127,262",0.4147871434688568,0.6018261909484863,0.26387298107147217,0.6766123175621033,0.2523595988750458,0.7096940875053406,0.21636063
model.2.gatebank.w,117,"(6,)","283,26,272,109,176,258",0.8787869811058044,0.8834885358810425,0.21029599010944366,0.9242185354232788,0.503294825553894,0.49996471405029297,0.29765084
model.2.gatebank.w,118,"(6,)","139,71,122,66,240,183",0.8111348748207092,0.25434741377830505,0.5020596981048584,0.42773446440696716,0.8099592328071594,0.8528571128845215,0.17164372
model.2.gatebank.w,119,"(6,)","7,10,275,191,196,245",0.5381437540054321,0.5049588680267334,0.7605768442153931,0.8267332911491394,0.39624613523483276,0.9689242839813232,-0.11766701
model.2.gatebank.w,120,"(6,)","56,42,252,238,268,223",0.7249661087989807,0.5522469878196716,0.8333966732025146,0.2621389329433441,0.7668768763542175,0.3167680501937866,0.06909947
