parameter,row_index,row_shape,non_zero_indices,w1,w2,w3,w4,w5,w6,bias,negative index
model.0.gatebank.w,17,"(6,)","8, 0, 7, 6, 1, 2",0.9300843477249146,0.4052304029464721,0.3759002685546875,0.3434187769889831,0.3235857486724853,0.1690406501293182,0.18824601,
model.0.gatebank.w,18,"(6,)","1, 4, 8, 0, 6, 7",0.6434239149093628,0.6324668526649475,0.6063486337661743,0.5929946899414062,0.5481173992156982,0.179596409201622,0.45529774,
model.0.gatebank.w,19,"(6,)","3, 4, 2, 5, 8, 1",0.7181425094604492,0.6695002317428589,0.5469771027565002,0.5195844769477844,0.5071752667427063,0.4207790791988373,0.27837405,
model.0.gatebank.w,20,"(6,)","7, 6, 3, 2, 4, 5",0.7719571590423584,0.6767878532409668,0.5353946089744568,0.3724054992198944,0.2943212687969208,0.2837441861629486,-0.22631225,
model.0.gatebank.w,21,"(6,)","5, 8, 1, 3, 6, 0",0.9154890179634094,0.879889726638794,0.7635486721992493,0.4071780145168304,0.1976029276847839,0.0080975545570254,0.10197848,
model.0.gatebank.w,22,"(6,)","5, 2, 3, 7, 1, 8",0.8296842575073242,0.6993392705917358,0.6096578240394592,0.4589537978172302,0.2105644196271896,0.0186516679823398,0.1338746439823398,8
model.0.gatebank.w,23,"(6,)","2, 6, 5, 0, 7, 8",0.975764811038971,0.9471383094787598,0.831718921661377,0.5120944976806641,0.4345250427722931,0.3701690435409546,-0.15897869,
model.0.gatebank.w,24,"(6,)","6, 4, 3, 1, 5, 7",0.9701275825500488,0.6087056398391724,0.5168586373329163,0.4492852687835693,0.4209888577461242,0.3017264604568481,-0.399051,
model.0.gatebank.w,25,"(6,)","3, 8, 7, 4, 1, 2",0.8722084760665894,0.7784317135810852,0.5542140007019043,0.5533366799354553,0.5432890057563782,0.262735903263092,-0.3868652,
model.0.gatebank.w,26,"(6,)","0, 8, 2, 5, 6, 1",0.7350324988365173,0.705170214176178,0.4789268970489502,0.4237171113491058,0.2983475029468536,0.1270780861377716,-0.0030164747,
model.0.gatebank.w,27,"(6,)","3, 2, 6, 5, 1, 7",0.9589574337005616,0.7257183194160461,0.6147581338882446,0.3937180936336517,0.2538732886314392,0.2170207798480987,-0.19753282,
model.0.gatebank.w,28,"(6,)","5, 6, 7, 4, 1, 0",0.953062117099762,0.7637556195259094,0.3474041223526001,0.1826860606670379,0.141201764345169,0.076681949198246,0.11907054,
model.0.gatebank.w,29,"(6,)","5, 4, 2, 0, 6, 3",0.8629536628723145,0.8073403835296631,0.6138327121734619,0.3183071315288543,0.2459657490253448,0.0863088145852088,0.08255436948520879,3
model.0.gatebank.w,30,"(6,)","6, 8, 4, 2, 1, 7",0.826641321182251,0.7478656768798828,0.5940274000167847,0.5846378803253174,0.3853695690631866,0.0106362532824277,0.2040845532824277,7
model.0.gatebank.w,31,"(6,)","2, 3, 7, 4, 6, 8",0.7775102257728577,0.6601622700691223,0.5548593401908875,0.3433364331722259,0.2936154305934906,0.2208306044340133,0.022230132,
model.2.gatebank.w,0,"(6,)","134, 86, 147, 2, 49, 220",0.794845700263977,0.6951491236686707,0.425128310918808,0.4111595153808594,0.3649556040763855,0.2960841059684753,0.17327355,
model.2.gatebank.w,1,"(6,)","230, 278, 100, 207, 196, 89",0.8979668617248535,0.7792013883590698,0.6619876623153687,0.5206793546676636,0.4825372099876404,0.210283413529396,0.12004923,
model.2.gatebank.w,2,"(6,)","175, 180, 79, 55, 176, 130",1.088818073272705,0.7620266675949097,0.611231803894043,0.5132744908332825,0.4236949384212494,0.3977492153644562,0.04357112,
model.2.gatebank.w,3,"(6,)","62, 157, 36, 109, 266, 205",0.7339210510253906,0.6012777090072632,0.5735227465629578,0.4579396545886993,0.4333222508430481,0.3384557664394378,-0.0809159,
model.2.gatebank.w,4,"(6,)","152, 247, 28, 192, 251, 80",0.8704261779785156,0.8030174970626831,0.6194484829902649,0.3486855924129486,0.2052380740642547,0.1867679059505462,0.29911515,
model.2.gatebank.w,5,"(6,)","267, 101, 133, 58, 231, 90",0.8074663877487183,0.7904380559921265,0.7333763241767883,0.7223027348518372,0.585037887096405,0.4987637400627136,0.16582663,
model.2.gatebank.w,6,"(6,)","259, 273, 223, 165, 162, 141",0.9027363061904908,0.8653179407119751,0.7692413330078125,0.6046440601348877,0.523818850517273,0.5217645168304443,0.08061149,
model.2.gatebank.w,7,"(6,)","88, 100, 17, 7, 202, 41",0.8217861652374268,0.7583238482475281,0.6929489374160767,0.6510694026947021,0.6289900541305542,0.5605456829071045,-0.24274246,
model.2.gatebank.w,8,"(6,)","246, 180, 156, 136, 220, 163",0.928775191307068,0.8091005086898804,0.553583025932312,0.5024549961090088,0.3980498611927032,0.2502859830856323,0.16012792,
model.2.gatebank.w,9,"(6,)","108, 141, 223, 248, 104, 266",0.9851734042167664,0.961842954158783,0.8703792095184326,0.3553736507892608,0.3299448192119598,0.2903309166431427,0.31887367,
model.2.gatebank.w,10,"(6,)","204, 0, 34, 23, 162, 221",0.8969918489456177,0.7254716753959656,0.6875127553939819,0.556969165802002,0.4276231825351715,0.3649587333202362,-0.16743886,
model.2.gatebank.w,11,"(6,)","239, 52, 165, 250, 241, 123",0.6797846555709839,0.5336695909500122,0.4696376025676727,0.4551129639148712,0.4245155751705169,0.1130310148000717,3.4750256729741285,"239, 52, 165, 250, 241, 123"
model.2.gatebank.w,12,"(6,)","247, 226, 145, 279, 86, 128",0.6100897192955017,0.583113968372345,0.4927667677402496,0.4915131032466888,0.474024087190628,0.2097339630126953,-0.03483862,
model.2.gatebank.w,13,"(6,)","59, 286, 270, 132, 3, 247",0.9730448722839355,0.8587548732757568,0.85552978515625,0.4712287485599518,0.3608306050300598,0.34070685505867,0.22029592,
model.2.gatebank.w,14,"(6,)","155, 238, 68, 235, 214, 87",0.7914852499961853,0.6403848528862,0.6040679216384888,0.5760660171508789,0.5722684264183044,0.4011905789375305,-0.24117076,
model.2.gatebank.w,15,"(6,)","77, 47, 168, 21, 75, 202",0.879493236541748,0.8204280138015747,0.5684617161750793,0.4862136840820312,0.4636952877044678,0.2735449075698852,0.10575721,
model.2.gatebank.w,16,"(6,)","146, 240, 79, 14, 158, 144",0.8509175777435303,0.7369917631149292,0.5651540160179138,0.5353100299835205,0.4710395932197571,0.3103497624397278,0.05843076,
model.2.gatebank.w,17,"(6,)","19, 30, 170, 268, 16, 108",0.9375895261764526,0.9071081280708312,0.7378438711166382,0.6498361825942993,0.5897908210754395,0.4751650094985962,-0.051775146,
model.2.gatebank.w,18,"(6,)","26, 214, 271, 34, 279, 182",0.9606184363365172,0.8388665318489075,0.6107727289199829,0.4103446304798126,0.3459171056747436,0.3013095557689667,0.025308928,
model.2.gatebank.w,19,"(6,)","213, 142, 95, 161, 243, 48",0.9268590211868286,0.8085490465164185,0.5396766066551208,0.5036882758140564,0.4496999979019165,0.2688963711261749,0.15382528,
model.2.gatebank.w,20,"(6,)","98, 59, 5, 17, 267, 234",0.9250774383544922,0.6566846370697021,0.6333909630775452,0.5444477796554565,0.3510521650314331,0.2792542576789856,0.09621547,
model.2.gatebank.w,21,"(6,)","95, 27, 124, 250, 191, 30",0.7866835594177246,0.6736733317375183,0.6198418736457825,0.4882388412952423,0.4023240804672241,0.2000348418951034,0.076475784,
model.2.gatebank.w,22,"(6,)","155, 236, 74, 197, 207, 19",1.0588947534561155,1.007073998451233,0.4775433540344238,0.3886452615261078,0.3094324469566345,0.1877997517585754,0.41229126,
model.2.gatebank.w,23,"(6,)","155, 212, 46, 14, 51, 229",0.8142029643058777,0.692133903503418,0.643139123916626,0.5444499254226685,0.4287462830543518,0.2329644113779068,0.18373492,
model.2.gatebank.w,24,"(6,)","85, 186, 219, 74, 118, 200",0.9514765739440918,0.9182319045066832,0.7925652861595154,0.5929121375083923,0.4188748896121979,0.1454332023859024,0.12669988,
model.2.gatebank.w,25,"(6,)","246, 211, 31, 265, 35, 238",0.9701095819473268,0.8203232288360596,0.7404791712760925,0.7044015526771545,0.4941306114196777,0.3718770444393158,-0.06718189,
model.2.gatebank.w,26,"(6,)","215, 235, 247, 124, 159, 269",0.9695743918418884,0.954347550868988,0.5141787528991699,0.4772909581661224,0.4564592540264129,0.379337728023529,0.06473919,
model.2.gatebank.w,27,"(6,)","128, 63, 127, 159, 236, 184",0.6912122368812561,0.6142484545707703,0.5260062217712402,0.497029185295105,0.4180914759635925,0.3453932106494903,-0.05456252,
model.2.gatebank.w,28,"(6,)","247, 228, 116, 31, 50, 159",0.9576375484466552,0.8370986580848694,0.6608883142471313,0.5050970315933228,0.4942105114459991,0.3287360966205597,0.2253471,
model.2.gatebank.w,29,"(6,)","215, 137, 242, 147, 59, 174",0.9206027388572692,0.7586286067962646,0.6510672569274902,0.5999102592468262,0.5114099979400635,0.3889931142330169,-0.078409344,
model.2.gatebank.w,30,"(6,)","180, 185, 164, 212, 216, 254",0.852693498134613,0.756644606590271,0.7445299625396729,0.6193572282791138,0.408103197813034,0.2353056520223617,0.15499401,
model.2.gatebank.w,31,"(6,)","154, 28, 220, 150, 129, 123",0.9449083805084229,0.8815986514091492,0.8266879916191101,0.8101868033409119,0.5085968971252441,0.2331113964319229,0.12805521,
model.2.gatebank.w,32,"(6,)","139, 286, 186, 241, 76, 155",0.7619296908378601,0.6190805435180664,0.6131608486175537,0.5414766669273376,0.4521194696426391,0.215334415435791,-0.058281146,
model.2.gatebank.w,33,"(6,)","33, 127, 37, 169, 242, 91",0.9238265752792358,0.7258334755897522,0.6240856647491455,0.614794135093689,0.3172881007194519,0.2578540444374084,0.23773585,
model.2.gatebank.w,34,"(6,)","263, 226, 22, 143, 169, 277",1.0241210460662842,0.6793086528778076,0.6036192178726196,0.5233260989189148,0.385621577501297,0.3328092992305755,0.14745207,
model.2.gatebank.w,35,"(6,)","240, 137, 5, 98, 229, 197",0.8885663151741028,0.6480134725570679,0.6387943625450134,0.4385013580322265,0.2797686755657196,0.2356659024953842,0.21755545,
model.2.gatebank.w,36,"(6,)","95, 87, 239, 258, 176, 146",0.8810139894485474,0.7915215492248535,0.5680692195892334,0.4482384026050567,0.3847429752349853,0.1928826123476028,0.19880024,
model.2.gatebank.w,37,"(6,)","187, 59, 233, 42, 46, 34",0.9460023045539856,0.9369869232177734,0.747806966304779,0.4340747594833374,0.2460880428552627,0.2148652374744415,0.43421227,
model.2.gatebank.w,38,"(6,)","31, 17, 154, 85, 50, 87",0.7295989394187927,0.6246598958969116,0.4910851418972015,0.421464055776596,0.4170007407665252,0.332434207201004,-0.0075177997,
model.2.gatebank.w,39,"(6,)","108, 49, 15, 115, 109, 31",0.8455348014831543,0.8004760146141052,0.4823805093765259,0.4808615148067474,0.3991136848926544,0.2026733458042144,0.1057065,
model.2.gatebank.w,40,"(6,)","131, 129, 90, 226, 73, 79",0.8596333861351013,0.8162338137626648,0.7995201349258423,0.7506656646728516,0.6777060031890869,0.6559325456619263,0.32326597,
model.2.gatebank.w,41,"(6,)","74, 62, 43, 133, 266, 21",0.8307549357414246,0.6153452396392822,0.5906895995140076,0.5506212115287781,0.3570258915424347,0.2027366161346435,0.04036968,
model.2.gatebank.w,42,"(6,)","54, 241, 128, 102, 141, 244",0.8093236684799194,0.7886609435081482,0.6362795829772949,0.559268057346344,0.5283806324005127,0.291061669588089,-0.062449794,
model.2.gatebank.w,43,"(6,)","56, 87, 60, 8, 83, 133",0.809054970741272,0.739423930644989,0.5405210852622986,0.536811888217926,0.3348560035228729,0.268095314502716,0.079454385,
model.2.gatebank.w,44,"(6,)","31, 193, 162, 94, 71, 168",1.0402601957321167,0.9058349132537842,0.7273769974708557,0.6396092772483826,0.5407887101173401,0.1709067672491073,-0.012962911,
model.2.gatebank.w,45,"(6,)","154, 230, 69, 24, 89, 135",1.023369312286377,0.898258626461029,0.8330352306365967,0.7748119235038757,0.3847510516643524,0.2948943376541137,0.43170986,
model.2.gatebank.w,46,"(6,)","235, 93, 240, 18, 215, 35",0.9966128468513488,0.8309098482131958,0.5396667718887329,0.5148870348930359,0.3208166658878326,0.263102650642395,0.21656987,
model.2.gatebank.w,47,"(6,)","43, 82, 139, 173, 122, 194",1.0180978775024414,0.926335632801056,0.8860740065574646,0.5709894895553589,0.3361794650554657,0.3174488842487335,-0.040225398,
model.2.gatebank.w,48,"(6,)","93, 263, 58, 234, 225, 282",1.028093934059143,0.8798341751098633,0.7345964312553406,0.7137828469276428,0.3491749465465545,0.3132140934467315,0.35686815,
model.2.gatebank.w,49,"(6,)","234, 150, 251, 210, 218, 231",1.0240360498428345,0.9641257524490356,0.8663930296897888,0.4937212765216827,0.4298691153526306,0.2692449390888214,0.19694208,
model.2.gatebank.w,50,"(6,)","60, 2, 53, 253, 122, 11",0.635823667049408,0.6284312605857849,0.5753955245018005,0.5262686610221863,0.3841693997383117,0.2858289778232574,0.060184762,
model.2.gatebank.w,51,"(6,)","56, 149, 28, 51, 287, 268",0.8396918773651123,0.7882484793663025,0.76661217212677,0.556129515171051,0.5474196672439575,0.1456644833087921,0.053368088,
model.2.gatebank.w,52,"(6,)","2, 198, 136, 85, 35, 239",0.8336941003799438,0.7799827456474304,0.6632190346717834,0.4228512048721313,0.4072454869747162,0.2973508238792419,0.19287749,
model.2.gatebank.w,53,"(6,)","40, 104, 15, 137, 259, 62",0.9318022727966307,0.8375504016876221,0.8022348284721375,0.5507111549377441,0.4936962425708771,0.4451642036437988,0.22467728,
model.2.gatebank.w,54,"(6,)","184, 238, 106, 32, 285, 111",0.9550163745880128,0.8107027411460876,0.7949382066726685,0.4787873327732086,0.4233580231666565,0.4151009321212768,0.027213816,
model.2.gatebank.w,55,"(6,)","91, 141, 194, 232, 51, 187",0.7799994945526123,0.7204904556274414,0.7175717949867249,0.5915578603744507,0.5101723670959473,0.3600977957248688,-0.20048496,
model.2.gatebank.w,56,"(6,)","203, 264, 250, 267, 103, 134",0.915019154548645,0.6996243596076965,0.5297060012817383,0.484563946723938,0.3844662010669708,0.3762536644935608,0.0031560352,
model.2.gatebank.w,57,"(6,)","150, 126, 15, 56, 173, 76",0.817012369632721,0.6683728694915771,0.6095582246780396,0.5019433498382568,0.2962928116321563,0.1843311488628387,0.101197794,
model.2.gatebank.w,58,"(6,)","204, 59, 172, 195, 233, 76",0.8056791424751282,0.7869303822517395,0.7409477233886719,0.6337459087371826,0.4306607544422149,0.1211258694529533,0.39169928,
model.2.gatebank.w,59,"(6,)","93, 203, 89, 197, 280, 47",0.9320544600486756,0.7217745780944824,0.584507405757904,0.3854149580001831,0.3573009669780731,0.3233255445957184,0.34364787,
model.2.gatebank.w,60,"(6,)","30, 158, 77, 94, 57, 20",0.8040673732757568,0.5581453442573547,0.4843820929527282,0.3930807113647461,0.3922922015190124,0.3712716996669769,0.040136736,
model.2.gatebank.w,61,"(6,)","87, 259, 28, 277, 17, 143",0.6976504921913147,0.6939499378204346,0.6810319423675537,0.6366775035858154,0.5074018836021423,0.2497304230928421,-0.22819392,
model.2.gatebank.w,62,"(6,)","154, 16, 287, 37, 4, 130",0.7542790770530701,0.5932387113571167,0.4825990200042724,0.4273295104503631,0.3379566073417663,0.305526852607727,0.037113685,
model.2.gatebank.w,63,"(6,)","213, 124, 115, 222, 32, 37",0.954509437084198,0.6257832646369934,0.5627949237823486,0.4420868754386902,0.3894965052604675,0.3495456576347351,0.05154877,
model.2.gatebank.w,64,"(6,)","3, 228, 218, 211, 70, 18",0.9503952264785768,0.8052161335945129,0.6261224150657654,0.4959799647331238,0.2990316450595855,0.1415063142776489,0.27374825,
model.2.gatebank.w,65,"(6,)","187, 232, 239, 175, 242, 287",0.6953220367431641,0.6064561605453491,0.4618110954761505,0.4472882449626922,0.3513402640819549,0.2976410090923309,-0.082552716,
model.2.gatebank.w,66,"(6,)","253, 13, 268, 41, 105, 121",0.7811446785926819,0.5578345060348511,0.5078622102737427,0.4953861832618713,0.4907976388931274,0.4639793932437897,-0.26255614,
model.2.gatebank.w,67,"(6,)","49, 172, 223, 193, 284, 228",0.6765017509460449,0.6156615018844604,0.4377959966659546,0.3404859900474548,0.2915872037410736,0.2016820460557937,3.720422989340782,"49, 172, 223, 193, 284, 228"
model.2.gatebank.w,68,"(6,)","203, 174, 134, 72, 163, 261",0.8949435353279114,0.8458811044692993,0.6386963725090027,0.5054597854614258,0.451230525970459,0.084454745054245,0.08947266,
model.2.gatebank.w,69,"(6,)","89, 239, 90, 91, 114, 193",0.8345230221748352,0.7160782814025879,0.6669368743896484,0.651841402053833,0.5957739949226379,0.1436972469091415,0.240568,
model.2.gatebank.w,70,"(6,)","286, 183, 130, 190, 151, 226",0.8174084424972534,0.6811580657958984,0.6471471786499023,0.6324219107627869,0.6247068643569946,0.2708906233310699,0.33637396,
model.2.gatebank.w,71,"(6,)","86, 94, 83, 58, 84, 275",0.9023441672325134,0.8879421353340149,0.6517988443374634,0.4298863410949707,0.3447900712490082,0.309698224067688,0.045056503,
model.2.gatebank.w,72,"(6,)","162, 74, 181, 95, 102, 177",0.8342416286468506,0.7652612328529358,0.5958097577095032,0.5869526267051697,0.5502193570137024,0.3707399070262909,0.05768189,
model.2.gatebank.w,73,"(6,)","148, 218, 26, 171, 280, 241",0.9615433216094972,0.9003281593322754,0.8969225287437439,0.788195013999939,0.534304678440094,0.4287343621253967,0.2191489,
model.2.gatebank.w,74,"(6,)","83, 37, 97, 225, 147, 154",0.7348227500915527,0.6143614053726196,0.5445852875709534,0.5109443068504333,0.4953096210956573,0.3917609751224518,-0.1074436,
model.2.gatebank.w,75,"(6,)","9, 43, 98, 102, 68, 19",0.7022066712379456,0.68492192029953,0.659389317035675,0.4182844758033752,0.4080575704574585,0.3392817080020904,0.08880472,
model.2.gatebank.w,76,"(6,)","32, 90, 231, 165, 66, 184",0.870355486869812,0.7190977931022644,0.6953534483909607,0.6405208706855774,0.5070400238037109,0.24639792740345,0.09527252,
model.2.gatebank.w,77,"(6,)","99, 128, 246, 206, 280, 134",0.7605041265487671,0.5228838920593262,0.5145204663276672,0.3925326764583587,0.3883863091468811,0.310582160949707,0.04765605,
model.2.gatebank.w,78,"(6,)","250, 222, 269, 199, 34, 263",0.9587008953094482,0.739313542842865,0.7226056456565857,0.6104815006256104,0.5743941068649292,0.3417914509773254,0.09411801,
model.2.gatebank.w,79,"(6,)","113, 282, 51, 195, 150, 131",0.9045908451080322,0.9014629125595092,0.6425815224647522,0.6318538784980774,0.4184103310108185,0.3539831638336181,0.0896855,
model.2.gatebank.w,80,"(6,)","148, 136, 51, 139, 36, 178",1.023224115371704,0.8865795731544495,0.6511135697364807,0.5242366790771484,0.5170590281486511,0.511841356754303,-0.07618698,
model.2.gatebank.w,81,"(6,)","183, 162, 31, 262, 269, 58",0.6742277145385742,0.6638590097427368,0.5424597859382629,0.5351621508598328,0.4341517686843872,0.4106080830097198,0.082653426,
model.2.gatebank.w,82,"(6,)","83, 231, 202, 279, 239, 74",0.8158317804336548,0.7222228050231934,0.6023813486099243,0.4078762233257293,0.3830212950706482,0.1910247951745987,0.15287374,
model.2.gatebank.w,83,"(6,)","6, 286, 42, 97, 246, 153",0.8516913056373596,0.6983782649040222,0.6118967533111572,0.5789108276367188,0.5316129326820374,0.2514239847660064,0.057963163,
model.2.gatebank.w,84,"(6,)","47, 185, 199, 225, 39, 159",0.9895105957984924,0.8483580946922302,0.6120356917381287,0.4908674359321594,0.396155297756195,0.354854941368103,0.04278724,
model.2.gatebank.w,85,"(6,)","242, 281, 244, 127, 208, 260",0.926016926765442,0.7498459219932556,0.7492849826812744,0.5024061799049377,0.3974872529506683,0.3809302449226379,0.21463615,
model.2.gatebank.w,86,"(6,)","276, 225, 44, 206, 180, 136",0.8297220468521118,0.8215928673744202,0.7296196818351746,0.459614634513855,0.4542983770370483,0.3924307227134704,0.06989064,
model.2.gatebank.w,87,"(6,)","111, 112, 84, 76, 173, 197",0.8517202138900757,0.7844491004943848,0.7644400596618652,0.6718294024467468,0.5502456426620483,0.0619553662836551,0.55417895,
model.2.gatebank.w,88,"(6,)","95, 17, 118, 69, 75, 22",0.8673955202102661,0.8368091583251953,0.7380571365356445,0.6287729144096375,0.5429808497428894,0.5013472437858582,-0.0853054,
model.2.gatebank.w,89,"(6,)","74, 129, 220, 30, 19, 71",0.9115058779716492,0.8719842433929443,0.7874349355697632,0.7564210891723633,0.4146643877029419,0.2290084660053253,0.37108323,
model.2.gatebank.w,90,"(6,)","23, 62, 157, 65, 276, 84",1.0084681510925293,0.9807116985321044,0.9061266779899596,0.7941648960113525,0.3790602684020996,0.3550311326980591,0.1547425,
model.2.gatebank.w,91,"(6,)","265, 57, 130, 166, 30, 34",0.7084821462631226,0.676649272441864,0.4245727956295013,0.3281809091567993,0.324733555316925,0.2685070037841797,0.13022216,
model.2.gatebank.w,92,"(6,)","139, 287, 190, 66, 200, 196",0.9322988390922546,0.898996114730835,0.8128753304481506,0.8014182448387146,0.3785786032676697,0.3144930601119995,0.3975482,
model.2.gatebank.w,93,"(6,)","98, 158, 128, 283, 33, 202",0.949442446231842,0.9363405704498292,0.6326373815536499,0.4604902863502502,0.2589758336544037,0.1796689629554748,0.34105808,
model.2.gatebank.w,94,"(6,)","81, 213, 109, 124, 147, 155",0.787452757358551,0.6723554730415344,0.4593693614006042,0.4495468139648437,0.3846725821495056,0.3790720105171203,0.014524081,
model.2.gatebank.w,95,"(6,)","58, 230, 50, 20, 269, 280",0.8651418685913086,0.7606541514396667,0.6709871888160706,0.6563372015953064,0.3315029442310333,0.2235968261957168,0.21970569,
model.2.gatebank.w,96,"(6,)","185, 208, 101, 105, 147, 54",0.8261354565620422,0.6973687410354614,0.6040627956390381,0.5665211081504822,0.4111628532409668,0.1930835247039795,0.26365444,
model.2.gatebank.w,97,"(6,)","31, 170, 133, 118, 231, 266",0.683869481086731,0.6354727745056152,0.5707162618637085,0.5669974684715271,0.4497813880443573,0.4224452674388885,-0.12309498,
model.2.gatebank.w,98,"(6,)","237, 45, 207, 77, 82, 282",0.9965083599090576,0.8100247979164124,0.7038320899009705,0.4333782196044922,0.3786555528640747,0.3321141004562378,0.11381414,
model.2.gatebank.w,99,"(6,)","188, 30, 83, 268, 207, 36",0.875008225440979,0.615293025970459,0.5792527198791504,0.53739994764328,0.5114456415176392,0.4079186618328094,-0.12509562,
model.2.gatebank.w,100,"(6,)","203, 23, 257, 212, 244, 10",0.7589470148086548,0.7404177188873291,0.6854018568992615,0.4969850182533264,0.4170637428760528,0.2654319703578949,0.11189433,
model.2.gatebank.w,101,"(6,)","131, 132, 255, 209, 202, 169",0.9911137223243712,0.7063292264938354,0.4801041483879089,0.4592055976390838,0.4562682807445526,0.4286610782146454,0.05766531,
model.2.gatebank.w,102,"(6,)","239, 64, 73, 134, 215, 96",0.7648331522941589,0.6829999089241028,0.5707380175590515,0.4815504550933838,0.4118368625640869,0.0878523588180542,0.16372731,
model.2.gatebank.w,103,"(6,)","142, 177, 28, 58, 46, 30",0.8461750745773315,0.6903119087219238,0.6527946591377258,0.6319075226783752,0.4558385908603668,0.2136702686548233,0.16329207,
model.2.gatebank.w,104,"(6,)","41, 119, 97, 194, 167, 254",0.8859720230102539,0.5951590538024902,0.5602798461914062,0.527161717414856,0.4299289286136627,0.3820954263210296,0.015102479,
model.2.gatebank.w,105,"(6,)","53, 143, 170, 83, 164, 189",0.7592682242393494,0.6854369044303894,0.6547014117240906,0.3963233232498169,0.3039062023162842,0.2887095808982849,0.20876153,
model.2.gatebank.w,106,"(6,)","37, 123, 63, 34, 14, 105",0.9987741112709044,0.7322238683700562,0.7178013324737549,0.4297110140323639,0.4141905605792999,0.3868793845176697,0.09121874,
model.2.gatebank.w,107,"(6,)","198, 109, 265, 252, 258, 54",0.7571440935134888,0.7077230215072632,0.5547158122062683,0.3852186501026153,0.3754759430885315,0.273882657289505,0.15212426,
model.2.gatebank.w,108,"(6,)","189, 165, 275, 201, 205, 116",0.5943960547447205,0.5800389051437378,0.5746498703956604,0.5478537082672119,0.3844622075557709,0.3612868189811706,-0.091020055,
model.2.gatebank.w,109,"(6,)","259, 94, 35, 153, 250, 143",0.9855428338050842,0.6977989673614502,0.6267340779304504,0.5582532286643982,0.290391206741333,0.2197780311107635,0.17772198,
model.2.gatebank.w,110,"(6,)","283, 190, 248, 107, 285, 284",0.8863766193389893,0.8724583983421326,0.6635011434555054,0.5383766889572144,0.3574130237102508,0.2655714452266693,0.3184873,
